"POOL_ADDRESS","POOL_NAME","TOTALVALUELOCKEDUSD","TOKEN0_ADDRESS","TOKEN1_ADDRESS","TOKEN0_SYMBOL","TOKEN1_SYMBOL"
"0x3afdc5e6dfc0b0a507a8e023c9dce2cafc310316","Uniswap V3 /Wrapped Ether 1%",5066158,"0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","","WETH"
"0x058d79a4c6eb5b11d0248993ffa1faa168ddd3c0","Uniswap V3 Wrapped NXM/Wrapped Ether 1%",5060762,"0x0d438f3b5175bebc262bf23753c1e53d03432bde","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","wNXM","WETH"
"0x5db3d38bd40c862ba1fdb2286c32a62ab954d36d","Uniswap V3 Gravita Debt Token/USD Coin 0.05%",4875246,"0x15f74458ae0bfdaa1a96ca1aa779d715cc1eefe4","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","GRAI","USDC"
"0xcf15ad9be9d33384b74b94d63d06b4a9bd82f640","Uniswap V3 Wrapped Ether/Rocket Pool Protocol 1%",4766729,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0xd33526068d116ce69f19a9ee46f0bd304f21a51f","WETH","RPL"
"0x3ffedcddd268511acc44ae67845bdd56c8417fa4","Uniswap V3 Wrapped BTC/FunFair 0.01%",4721385,"0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","0x419d0d8bdd9af5e606ae2232ed285aff190e711b","WBTC","FUN"
"0xceb5c29bde4604296135dd7b027a433fd3633516","Uniswap V3 Metronome2/Wrapped Ether 1%",4395900,"0x2ebd53d035150f328bd754d6dc66b99b0edb89aa","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","MET","WETH"
"0x735a26a57a0a0069dfabd41595a970faf5e1ee8b","Uniswap V3 agEUR/USD Coin 0.01%",4384424,"0x1a7e4e63778b4f12a199c062f3efdd288afcbce8","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","agEUR","USDC"
"0x2cad29e9640b9bcfb1d8d25cf3e4bd05f55cce70","Uniswap V3 Open Exchange Token/Wrapped Ether 1%",4206690,"0x78a0a62fba6fb21a83fe8a3433d44c73a4017a6f","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","OX","WETH"
"0x2bc477c7c00511ec8a2ea667dd8210af9ff15e1d","Uniswap V3 Decentralized USD/Tether USD 0.01%",4005978,"0x0c10bf8fcb7bf5412187a595ab97a3609160b5c6","0xdac17f958d2ee523a2206206994597c13d831ec7","USDD","USDT"
"0x59c5e3d6984371fc7f81f9f9e46a57149216799b","Uniswap V3 CCM Staking Services/USD Coin 0.3%",3249412,"0x4f3e989e6483c1b924ce8cf2c3feed27aa1d48e4","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","CCMSS","USDC"
"0xc3f6b81fb9e6db259272026601689e383f94c0b0","Uniswap V3 OVR/Wrapped Ether 1%",3187708,"0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","OVR","WETH"
"0x5d811a9d059ddab0c18b385ad3b752f734f011cb","Uniswap V3 Liquid Staked ETH/Wrapped Ether 0.05%",3176285,"0x8c1bed5b9a0928467c9b1341da1d7bd5e10b6549","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","LsETH","WETH"
"0x6ac6b053a2858bea8ad758db680198c16e523184","Uniswap V3 SPACE ID/USD Coin 0.3%",2989654,"0x2dff88a56767223a5529ea5960da7a3f5f766406","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","ID","USDC"
"0xac4b3dacb91461209ae9d41ec517c2b9cb1b7daf","Uniswap V3 ApeCoin/Wrapped Ether 0.3%",2879684,"0x4d224452801aced8b2f0aebe155379bb5d594381","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","APE","WETH"
"0x9902affdd3b8ef60304958c60377110c6d6ab1df","Uniswap V3 LUSD Stablecoin/USD Coin 0.3%",2846420,"0x5f98805a4e8be255a32880fdec7f6728c6568ba0","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","LUSD","USDC"
