project,network,url
hop,polygon,https://api.thegraph.com/subgraphs/name/messari/hop-protocol-polygon
idle,ethereum,https://api.thegraph.com/subgraphs/name/messari/idle-governance
idle,ethereum,https://api.thegraph.com/subgraphs/name/messari/idle-governance-v1
indexed,ethereum,https://api.thegraph.com/subgraphs/name/messari/indexed-governance
inverse,ethereum,https://api.thegraph.com/subgraphs/name/messari/inverse-finance-ethereum
iron-bank,avalanche,https://api.thegraph.com/subgraphs/name/messari/iron-bank-avalanche
iron-bank,ethereum,https://api.thegraph.com/subgraphs/name/messari/iron-bank-ethereum
iron-bank,fantom,https://api.thegraph.com/subgraphs/name/messari/iron-bank-fantom
iron-bank,optimism,https://api.thegraph.com/subgraphs/name/messari/iron-bank-optimism
kwenta,optimism,https://api.thegraph.com/subgraphs/name/messari/kwenta-optimism
kyberswap,arbitrum,https://api.thegraph.com/subgraphs/name/kybernetwork/kyberswap-elastic-arbitrum-one
kyberswap,avalanche,https://api.thegraph.com/subgraphs/name/kybernetwork/kyberswap-elastic-avalanche
kyberswap,bsc,https://api.thegraph.com/subgraphs/name/kybernetwork/kyberswap-elastic-bsc
kyberswap,fantom,https://api.thegraph.com/subgraphs/name/kybernetwork/kyberswap-elastic-fantom
kyberswap,ethereum,https://api.thegraph.com/subgraphs/name/kybernetwork/kyberswap-elastic-mainnet
kyberswap,optimism,https://api.thegraph.com/subgraphs/name/kybernetwork/kyberswap-elastic-optimism
kyberswap,polygon,https://polygon-graph.kyberengineering.io/subgraphs/name/kybernetwork/kyberswap-elastic-polygon
level-finance,bsc,https://api.thegraph.com/subgraphs/name/messari/level-finance-bsc
lido,ethereum,https://api.thegraph.com/subgraphs/name/messari/lido-ethereum
lilnouns,ethereum,https://api.thegraph.com/subgraphs/name/messari/lilnouns-governance
liquity,ethereum,https://api.thegraph.com/subgraphs/name/messari/liquity-ethereum
livepeer,arbitrum,https://api.thegraph.com/subgraphs/name/messari/livepeer-arbitrum
looksrare,ethereum,https://api.thegraph.com/subgraphs/name/messari/looksrare-ethereum
mahalend,ethereum,https://api.thegraph.com/subgraphs/name/mahalend/mahalend-mainnet
mahalend,arbitrum,https://api.thegraph.com/subgraphs/name/mahalend/protocol-v3-arbitrum
makerdao,ethereum,https://api.thegraph.com/subgraphs/name/messari/makerdao-ethereum
makerdao,ethereum,https://api.thegraph.com/subgraphs/name/messari/spark-lend-ethereum
makerdao,ethereum,https://api.thegraph.com/subgraphs/name/messari/maker-governance
maple,ethereum,https://api.thegraph.com/subgraphs/name/messari/maple-finance-ethereum
maple,ethereum,https://api.thegraph.com/subgraphs/name/messari/maple-finance-v2-ethereum
mm,polygon,https://api.thegraph.com/subgraphs/name/messari/mm-finance-polygon
mm,cronos,https://api.thegraph.com/subgraphs/name/messari/NA
mm finance,polygon,https://api.thegraph.com/subgraphs/name/polymmfinance/exchang
moonwell,moonbeam,https://api.thegraph.com/subgraphs/name/messari/moonwell-moonbeam
moonwell,moonriver,https://api.thegraph.com/subgraphs/name/messari/moonwell-moonriver
morpho,ethereum,https://api.thegraph.com/subgraphs/name/messari/morpho-aave-ethereum
